n_group1,n_group2,mean_group1,mean_group2,median_group1,median_group2,sd_group1,sd_group2,mean_diff,median_diff,log2FC,pseudo_log2FC_shifted,signed_log2FC_absmean,t_welch,z_welch_approx,p_ttest,u_stat,z_wilcoxon,p_wilcoxon,cohen_d,cliffs_delta,trait,celltype_key,celltype,group_col,group1,group2,direction,q_ttest,q_wilcoxon
45289,1109,1.027784152447716,-0.19745292115485844,1.051171064376831,-0.2609048783779144,0.8691402230129678,0.7390130486773026,1.2252370736025744,1.3120759427547455,,0.8393127380717847,2.3799507929249457,54.30012678383306,54.30012678383306,1e-323,43058288.0,40.72214487691307,0.0,1.4143979931592787,0.7145986458153997,GCST90199949,cancerType_celltype,HNSC_Epi_HNSC,tissue,Tumor,Adjacent,group1_higher,1.347e-320,0.0
45289,1109,0.39338748781608945,-0.5059274205588631,0.4406269788742065,-0.7071623206138611,0.5643776673097711,0.8515504598692146,0.8993149083749525,1.1477892994880676,,0.7227149318970371,-0.36297854592586615,34.98194700889039,34.98194700889039,2.3548361863299566e-182,41782855.0,37.82792298989543,0.0,1.569715226661458,0.663810381901417,GCST90200413,cancerType_celltype,HNSC_Epi_HNSC,tissue,Tumor,Adjacent,group1_higher,1.5284008199846335e-180,0.0
45289,1109,-1.0810662605013175,0.5831702646120839,-1.162988305091858,0.4373744130134582,1.1057305613787574,1.2849698002088956,-1.6642365251134015,-1.6003627181053162,,-0.569222202269114,-0.8904647470135364,-42.74504762163079,-42.74504762163079,1.1260506841843027e-239,7916729.5,-39.02133655614604,0.0,-1.498841830963505,-0.6847525921145117,GCST90200616,cancerType_celltype,HNSC_Epi_HNSC,tissue,Tumor,Adjacent,group2_higher,5.116023608477348e-237,0.0
45289,1109,0.4749891173705745,-0.4213418433767289,0.5172193646430969,-0.6044062972068787,0.5820080230789931,0.8638874817040586,0.8963309607473033,1.1216256618499756,,0.6856559853403288,0.17290287626397277,34.36187568739781,34.36187568739781,7.381914784699491e-178,41449026.0,37.07039578280481,8.429158270115461e-301,1.518405619616982,0.6505171745325149,GCST90200909,cancerType_celltype,HNSC_Epi_HNSC,tissue,Tumor,Adjacent,group1_higher,4.374586891976264e-176,2.8722356805418436e-298
45289,1109,0.7819540933182005,-0.2187312035273418,0.8099827170372009,-0.4271416664123535,0.7208176753198512,0.9016103364233422,1.0006852968455424,1.2371243834495544,,0.6939958526374014,1.8379201165016013,36.67516563738722,36.67516563738722,2.798432326666939e-195,41307184.0,36.74852687953952,1.2274043207869335e-295,1.378999375342719,0.644868968056685,GCST90200492,cancerType_celltype,HNSC_Epi_HNSC,tissue,Tumor,Adjacent,group1_higher,2.542842174164692e-193,3.3459041784651805e-293
45289,1109,0.2834043610844264,-0.43957362066132644,0.3138185143470764,-0.6011924147605896,0.5276078392974818,0.8841571586619911,0.7229779817457529,0.915010929107666,,0.5614471890756044,-0.6332410435655471,27.112909333123017,27.112909333123017,4.772975879437938e-125,40670585.0,35.30395177519963,5.107336399353566e-273,1.3416321522100612,0.6195193354069279,GCST90200454,cancerType_celltype,HNSC_Epi_HNSC,tissue,Tumor,Adjacent,group1_higher,9.709800184587924e-124,1.1602165853864851e-270
45289,1109,1.3742094830454648,-0.20612683126538517,1.385529398918152,-0.4276212751865387,1.4015621387231678,1.2401045351541775,1.58033631431085,1.8131506741046908,,0.48592342752171225,2.736991778642684,41.7896755947845,41.7896755947845,7.308908092098061e-235,40638779.0,35.231777367497706,6.524558342979395e-272,1.1304882641819334,0.6182528074732396,GCST90200733,cancerType_celltype,HNSC_Epi_HNSC,tissue,Tumor,Adjacent,group1_higher,2.4905104323824144e-232,1.2704247173544165e-269
45289,1109,0.5635988001274083,-0.2571042037001711,0.5742408037185669,-0.4014023244380951,0.6988754700872416,0.7402843565523953,0.8207030038275793,0.975643128156662,,0.6157929792209984,1.1323122900143106,36.52288708906821,36.52288708906821,7.173753465635415e-195,40390713.0,34.668864186934776,2.3218939164688566e-263,1.172612227202688,0.6083747178549797,GCST90200948,cancerType_celltype,HNSC_Epi_HNSC,tissue,Tumor,Adjacent,group1_higher,6.111141233538169e-193,3.9559267601838143e-261
45289,1109,0.27584419442476116,-0.43838097364410783,0.2704171538352966,-0.5978689789772034,0.5399972695748763,0.7054775992738699,0.7142251680688689,0.8682861328125,,0.6423354313422001,-0.6683296285031072,33.47529861428318,33.47529861428318,1.131111253408259e-171,40335922.0,34.544532049212464,1.7220653815433375e-261,1.3116224988476455,0.606192917816788,GCST90200738,cancerType_celltype,HNSC_Epi_HNSC,tissue,Tumor,Adjacent,group1_higher,5.9296332245979126e-170,2.60797235004841e-259
45289,1109,0.3802356789528898,-0.42328795436450606,0.4236183166503906,-0.6082291007041931,0.5939411096991611,0.8681958237793541,0.8035236333173958,1.0318474173545837,,0.5814419444346686,-0.15474513624444802,30.645897701667877,30.645897701667877,9.877378246696926e-151,40271806.0,34.39903955332438,2.6063577118186945e-259,1.3348702787135713,0.6036397924631951,GCST90200334,cancerType_celltype,HNSC_Epi_HNSC,tissue,Tumor,Adjacent,group1_higher,3.638612581148084e-149,3.55246556120888e-257
