n_group1,n_group2,mean_group1,mean_group2,median_group1,median_group2,sd_group1,sd_group2,mean_diff,median_diff,log2FC,pseudo_log2FC_shifted,signed_log2FC_absmean,t_welch,z_welch_approx,p_ttest,u_stat,z_wilcoxon,p_wilcoxon,cohen_d,cliffs_delta,trait,celltype_key,celltype,group_col,group1,group2,direction,q_ttest,q_wilcoxon
18993,6379,0.3355799048667747,-0.46070750204358657,0.2938307821750641,-0.506019115447998,0.7737907686878548,0.6953523301455525,0.7962874069103613,0.7998498976230621,,0.4473629686780376,-0.4571935958126358,76.86415558380367,76.86415558380367,0.0,94671271.0,67.35938115913115,0.0,1.0549105719572376,0.5627950717266179,GCST90199666,cancerType_celltype,THCA_Epi_THCA,tissue,Tumor,Adjacent,group1_higher,0.0,0.0
18993,6379,0.2514377486333923,-0.3652010627621807,0.2092502117156982,-0.4064935445785522,0.7715611594734967,0.6158636985859732,0.616638811395573,0.6157437562942504,,0.42873048576846157,-0.5384879168587888,64.71162966786483,64.71162966786483,0.0,89174659.0,56.49945906516904,0.0,0.8383634503970416,0.47205922278260837,GCST90199743,cancerType_celltype,THCA_Epi_THCA,tissue,Tumor,Adjacent,group1_higher,0.0,0.0
18993,6379,0.14088793032384497,-0.4393434161825534,0.0876372680068016,-0.4849137365818023,0.7409100404782866,0.5905542545061571,0.5802313465063984,0.572551004588604,,0.3980190408937472,-1.6407940950080473,63.46923787377006,63.46923787377006,0.0,88808818.0,55.77664931276571,0.0,0.8217064203302724,0.46602006744227764,GCST90200792,cancerType_celltype,THCA_Epi_THCA,tissue,Tumor,Adjacent,group1_higher,0.0,0.0
18993,6379,-0.10936260752909713,-0.8608188001595867,-0.1157603338360786,-0.927749752998352,0.904040861417142,0.8881748867788993,0.7514561926304896,0.8119894191622734,,0.3462334207691936,-2.9765785240611926,58.20252610167825,58.20252610167825,0.0,88243161.5,54.65905441577402,0.0,0.8348785199369547,0.45668243860142144,GCST90200065,cancerType_celltype,THCA_Epi_THCA,tissue,Tumor,Adjacent,group1_higher,0.0,0.0
18993,6379,0.056348212914018814,-0.4744726109891522,-0.0184130035340785,-0.5293564796447754,0.7383658947108769,0.5781164530715442,0.5308208239031711,0.5109434761106969,,0.41015646792612065,-3.0738604863808137,58.94442342630451,58.94442342630451,0.0,87526124.0,53.24236875769058,0.0,0.756659109631132,0.4448458734068632,GCST90199929,cancerType_celltype,THCA_Epi_THCA,tissue,Tumor,Adjacent,group1_higher,0.0,0.0
18993,6379,-0.25655985316812097,-1.0993937982182516,-0.3335230648517608,-1.154128074645996,1.1216939243267767,1.0169238565752212,0.8428339450501305,0.8206050097942352,,0.32423181150850905,-2.099336596844483,55.77393969482401,55.77393969482401,0.0,86429956.0,51.07661663949591,0.0,0.7688004728536904,0.4267507751781259,GCST90200076,cancerType_celltype,THCA_Epi_THCA,tissue,Tumor,Adjacent,group1_higher,0.0,0.0
18993,6379,-0.09547118631344655,-0.5082610229516362,-0.209168329834938,-0.5619697570800781,0.7069603910551645,0.44836703686590695,0.4127898366381897,0.35280142724514013,,0.35411800850287656,-2.4124200349308422,54.28184987874513,54.28184987874513,0.0,86406902.5,51.031068724890844,0.0,0.6334255303610145,0.42637021731927915,GCST90200786,cancerType_celltype,THCA_Epi_THCA,tissue,Tumor,Adjacent,group1_higher,0.0,0.0
18993,6379,0.15081013260267268,-0.38648889126544744,0.1153247356414794,-0.4302399456501007,0.7466961160639732,0.6611582375980067,0.5372990238681201,0.5455646812915801,,0.3412612730375273,-1.3576877509600542,54.308028657106945,54.308028657106945,0.0,85947770.0,50.12393844521929,0.0,0.7399378669700547,0.4187910436091309,GCST90200148,cancerType_celltype,THCA_Epi_THCA,tissue,Tumor,Adjacent,group1_higher,0.0,0.0
18993,6379,-0.29405992332926045,-1.0871941295270373,-0.3322721421718597,-1.1421113014221191,1.0595999759374362,1.0247998801562683,0.7931342061977769,0.8098391592502594,,0.29669587380663476,-1.886423910517053,53.023073352523284,53.023073352523284,0.0,85745005.5,49.72332681874443,0.0,0.7546761405881217,0.4154438892087098,GCST90199764,cancerType_celltype,THCA_Epi_THCA,tissue,Tumor,Adjacent,group1_higher,0.0,0.0
18993,6379,-0.006642863104938022,-0.5346672151327714,-0.06150409206748,-0.5811961889266968,0.7450238904466431,0.6519540748453296,0.5280243520278334,0.5196920968592168,,0.3445724461641371,-6.330477756712845,53.93165026181979,53.93165026181979,0.0,85514254.5,49.26742091105005,0.0,0.7305718747137281,0.41163474497955943,GCST90200243,cancerType_celltype,THCA_Epi_THCA,tissue,Tumor,Adjacent,group1_higher,0.0,0.0
