n_group1,n_group2,mean_group1,mean_group2,median_group1,median_group2,sd_group1,sd_group2,mean_diff,median_diff,log2FC,pseudo_log2FC_shifted,signed_log2FC_absmean,t_welch,z_welch_approx,p_ttest,u_stat,z_wilcoxon,p_wilcoxon,cohen_d,cliffs_delta,trait,celltype_key,celltype,group_col,group1,group2,direction,q_ttest,q_wilcoxon
62007,1240,2.1178364968862406,0.06311904326444605,2.1046879291534424,-0.022949653677642297,1.5307908716317977,0.962417525182954,2.0547174536217945,2.1276375828310847,,0.7436143901689543,5.06834989015866,73.34698960397836,73.34698960397836,0.0,67028959.0,44.90228374214524,0.0,1.3502809269188871,0.7435325720249066,GCST90200616,cancerType_celltype,KIRC_Epi_KIRC,tissue,Tumor,Adjacent,group1_higher,0.0,0.0
62007,1240,0.5231675603851805,-0.4772830719922504,0.5019475817680359,-0.5935578942298889,0.8862981222442978,0.8439652671656681,1.000450632377431,1.0955054759979248,,0.649656621407777,0.13242765391191208,41.29000793520401,41.29000793520401,1.9249738309606468e-238,63026697.0,38.61531157944453,0.0,1.1298293875337984,0.6394272082704502,GCST90200229,cancerType_celltype,KIRC_Epi_KIRC,tissue,Tumor,Adjacent,group1_higher,3.279674164499202e-236,0.0
62007,1240,0.5565426902842192,-0.21357753137658766,0.6032669544219971,-0.29707571864128113,0.7260706127944625,0.6791067770096448,0.7701202216608068,0.9003426730632782,,0.5311365285492843,1.3817283111622927,39.48420157083808,39.48420157083808,1.5736985704025845e-224,62943394.0,38.4844546685103,0.0,1.0619714527113,0.6372603613431782,GCST90200262,cancerType_celltype,KIRC_Epi_KIRC,tissue,Tumor,Adjacent,group1_higher,1.5321079653276592e-222,0.0
62007,1240,0.35083951140490416,-0.459451134094683,0.3428050279617309,-0.579414427280426,0.7485326979551867,0.6706379592259639,0.8102906454995872,0.922219455242157,,0.5855255730121749,-0.38909922401699065,42.02619124934614,42.02619124934614,1.3997293300134033e-244,62571525.0,37.90030249377228,0.0,1.084603450357665,0.6275874420005649,GCST90200048,cancerType_celltype,KIRC_Epi_KIRC,tissue,Tumor,Adjacent,group1_higher,3.1797184613471145e-242,0.0
62007,1240,-0.6407109253759479,0.24487343223482905,-0.6981413960456848,0.21312460303306574,0.654840007704555,0.778545428881733,-0.8855843576107769,-0.9112659990787506,,-0.4913177639231596,-1.3876336957274493,-39.77463765061555,-39.77463765061555,1.3600066658959817e-225,14221021.0,-38.05131504164872,0.0,-1.3469229665754923,-0.630088044169831,GCST90200300,cancerType_celltype,KIRC_Epi_KIRC,tissue,Tumor,Adjacent,group2_higher,1.4259146812432486e-223,0.0
62007,1240,0.08367075632679224,-1.3395031990828894,0.0092346239835023,-1.353528082370758,1.274793335058079,1.077947557707831,1.4231739554096816,1.3627627063542604,,0.6131675907614389,-4.000814574977535,45.854435026300834,45.854435026300834,1.3896247168630446e-274,61930317.5,36.89305866440406,5.971211103435842e-298,1.1195253393067592,0.6109085888846055,GCST90199943,cancerType_celltype,KIRC_Epi_KIRC,tissue,Tumor,Adjacent,group1_higher,9.470292445421649e-272,1.356460122330509e-295
62007,1240,0.26455012217933743,-0.37101929982271675,0.2726258635520935,-0.4567669779062271,0.6363858447487837,0.6530935598988549,0.6355694220020542,0.7293928414583206,,0.4573004496789652,-0.4879515864975658,33.94798300139768,33.94798300139768,6.573154335919288e-181,61897090.0,36.840863089117846,4.0962444922054014e-297,0.9981970882611936,0.6100442874035554,GCST90200555,cancerType_celltype,KIRC_Epi_KIRC,tissue,Tumor,Adjacent,group1_higher,1.791841871971598e-179,7.975973204108518e-295
62007,1240,0.443395709178085,-0.4207679017922689,0.4518807530403137,-0.6009511947631836,0.7914548105778352,0.800295097409878,0.8641636109703539,1.0528319478034973,,0.578803107426267,0.07556998098755983,37.65742426790981,37.65742426790981,7.055569869107755e-210,61674960.5,36.49192991507412,1.489118378711701e-291,1.0916271030779119,0.6042663367351344,GCST90200537,cancerType_celltype,KIRC_Epi_KIRC,tissue,Tumor,Adjacent,group1_higher,3.8466966926375477e-208,2.5370854377300603e-289
62007,1240,-0.6299555812064003,0.7651569142269681,-0.6601729393005371,0.6946395635604858,1.3023520855107509,1.0720267370033376,-1.3951124954333682,-1.354812502861023,,-0.39171068387485697,0.2805051272119858,-45.164618635707455,-45.164618635707455,1.3922841396923027e-269,15322121.5,-36.32164612146413,7.368175671329152e-289,-1.0746246312047019,-0.6014466238723308,GCST90200174,cancerType_celltype,KIRC_Epi_KIRC,tissue,Tumor,Adjacent,group2_higher,6.3256109413353615e-267,1.1158692711135147e-286
62007,1240,0.8080771427391257,-1.3874518734620764,0.6915577054023743,-1.6966216564178467,2.0259642961665048,1.8997043971704428,2.195529016201202,2.388179361820221,,0.4578227926545043,-0.7798720531172659,40.24208396490686,40.24208396490686,2.064544735558782e-230,61256361.0,35.83437091373426,3.221650467685202e-281,1.0849799398740367,0.5933778808532024,GCST90199799,cancerType_celltype,KIRC_Epi_KIRC,tissue,Tumor,Adjacent,group1_higher,2.3449787288055165e-228,4.39110958745493e-279
