n_group1,n_group2,mean_group1,mean_group2,median_group1,median_group2,sd_group1,sd_group2,mean_diff,median_diff,log2FC,pseudo_log2FC_shifted,signed_log2FC_absmean,t_welch,z_welch_approx,p_ttest,u_stat,z_wilcoxon,p_wilcoxon,cohen_d,cliffs_delta,trait,celltype_key,celltype,group_col,group1,group2,direction,q_ttest,q_wilcoxon
24361,1057,0.6602932521987201,-0.3882096487831178,0.667930006980896,-0.5008281469345093,0.9579464570945136,0.7408719808405861,1.048502900981838,1.1687581539154053,,0.557931454706045,0.7662693951438714,44.42805111656865,44.42805111656865,8.406144752296942e-257,20857119.0,34.178739987516714,5.0051836461021244e-256,1.1037854039502806,0.6199970197568683,GCST90200339,cancerType_celltype,CESC_Epi_CESC,tissue,Tumor,Adjacent,group1_higher,5.728787648690366e-254,6.822065309637195e-253
24361,1057,1.1256711000167405,-0.47085630080730184,0.6502552628517151,-0.633129894733429,1.7113514529407516,0.9662006551690646,1.5965274008240424,1.283385157585144,,0.7446772408015148,1.2574248377660862,50.40044123185334,50.40044123185334,1.3301009396e-313,20618520.0,33.15710687143846,4.473872902502071e-241,0.9463943624211868,0.6014647541588742,GCST90199660,cancerType_celltype,CESC_Epi_CESC,tissue,Tumor,Adjacent,group1_higher,1.81292758066664e-310,3.0489443830551617e-238
24361,1057,0.6777483555475522,-0.09837346432676919,0.6266377568244934,-0.1302383691072464,0.7763023667760766,0.6711250482058188,0.7761218198743214,0.7568761259317398,,0.5549661522240779,2.784396056322564,36.55189937084588,36.55189937084588,2.464660180117282e-196,20563305.0,32.92068730344253,1.1119309794986903e-237,1.0050557506064592,0.5971761400196982,GCST90200768,cancerType_celltype,CESC_Epi_CESC,tissue,Tumor,Adjacent,group1_higher,6.71866365099971e-194,5.051873083522383e-235
24361,1057,1.0460727302197348,-0.14888100280437483,1.018604040145874,-0.162892997264862,1.2900808663313366,1.0273789410277474,1.1949537330241096,1.181497037410736,,0.4411781976965401,2.8127432670644255,36.58372309819912,36.58372309819912,1.0637554891229567e-197,19792247.0,29.619171424427666,8.465327230429589e-193,0.9333827855381013,0.5372871562123136,GCST90200407,cancerType_celltype,CESC_Epi_CESC,tissue,Tumor,Adjacent,group1_higher,3.624746829186475e-195,2.8845602537688825e-190
24361,1057,0.5806578841636759,0.0030112037507974867,0.609059751033783,0.0187231823801994,0.5999959977356112,0.6938502183029724,0.5776466804128785,0.5903365686535835,,0.40520988404931013,7.590727711976101,26.63793932203151,26.63793932203151,1.2672976211483055e-121,19751965.0,29.446691970692047,1.3880139206186477e-190,0.9560744568478313,0.5341584057866271,GCST90200909,cancerType_celltype,CESC_Epi_CESC,tissue,Tumor,Adjacent,group1_higher,6.1690237772326445e-120,3.783725947606433e-188
24361,1057,0.7085382785936742,-0.051355024008118914,0.7128674387931824,-0.0719131678342819,0.8344219896935166,0.7498894917685417,0.7598933026017931,0.7847806066274643,,0.4663443811993724,3.786242414415907,32.094432467716864,32.094432467716864,1.0318781128207705e-162,19668958.5,29.091274767561483,4.629033335964455e-186,0.9143432537552356,0.5277111930809582,GCST90200777,cancerType_celltype,CESC_Epi_CESC,tissue,Tumor,Adjacent,group1_higher,1.7580623347183878e-160,1.0515620728199254e-183
24361,1057,0.5623090341250525,-0.4277608496598274,0.5394291281700134,-0.5697324275970459,1.0859603063665424,1.0681516163909923,0.9900698837848799,1.1091615557670593,,0.424172762061315,0.39455797110278384,29.48111519333315,29.48111519333315,8.055806559093543e-143,19482343.0,28.292224583891386,4.307799733043637e-176,0.9123166074219003,0.5132165472077463,GCST90200895,cancerType_celltype,CESC_Epi_CESC,tissue,Tumor,Adjacent,group1_higher,8.44620333849577e-141,8.387901480197826e-174
24361,1057,-0.5811101679835224,0.21017700478129822,-0.6305890679359436,0.1506809890270233,0.8104137271703401,0.8477002839509808,-0.7912871727648206,-0.7812700569629669,,-0.3690820663137995,-1.467202482569221,-29.763531554321084,-29.763531554321084,1.5133109156262136e-144,6315768.0,-28.08441171939597,1.5188000529837533e-173,-0.9744951626264797,-0.509446854214343,GCST90200883,cancerType_celltype,CESC_Epi_CESC,tissue,Tumor,Adjacent,group2_higher,1.8751297981804812e-142,2.5876555902710696e-171
24361,1057,-1.1220562942225512,0.2252185039098666,-1.1596895456314087,0.2014422416687011,1.5198868069319016,1.3481830358468523,-1.3472747981324178,-1.3611317873001099,,-0.3405910220228599,-2.316742669682315,-31.629242275503398,-31.629242275503398,2.287194048947356e-159,6503407.5,-27.280976972878314,7.133780304570123e-164,-0.8903829977158324,-0.49487267305400784,GCST90199761,cancerType_celltype,CESC_Epi_CESC,tissue,Tumor,Adjacent,group2_higher,3.4638283207947177e-157,1.080371395014342e-161
24361,1057,-0.937842123015927,0.30779861357098015,-1.031194806098938,0.1974241733551025,1.3216732179281439,1.4284575540832378,-1.245640736586907,-1.2286189794540405,,-0.36734105094868247,-1.6073551967970459,-27.838340491133167,-27.838340491133167,1.8875808013690778e-130,6560245.0,-27.03761018494082,5.342491825639754e-161,-0.9391980924637265,-0.490458037427178,GCST90199630,cancerType_celltype,CESC_Epi_CESC,tissue,Tumor,Adjacent,group2_higher,1.2863863161330266e-128,7.281816358346985e-159
24361,1057,0.5125815223384248,-0.004261020729205921,0.5542172193527222,0.0543989427387714,0.5987330887556918,0.6915080114062335,0.5168425430676307,0.4998182766139508,,0.3711288889902164,6.910102867310336,23.913750765286732,23.913750765286732,1.5693063002485428e-102,19162320.0,26.921950212637896,1.2156483983761505e-159,0.8573004867746004,0.488359983544584,GCST90200413,cancerType_celltype,CESC_Epi_CESC,tissue,Tumor,Adjacent,group1_higher,4.974336016834334e-101,1.506298879078812e-157
